Area,Numerator,Denominator,% of all people aged 16+ who are male,Conf,Numerator,Denominator,% of all people aged 16+ who are female,Conf,Numerator,Denominator,% of all people aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of males aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of females aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of aged 16-64 who are male,Conf,Numerator,Denominator,% of aged 16-64 who are female,Conf,Numerator,Denominator,% of all 16+ who are aged 16-19,Conf,Numerator,Denominator,% of all 16+ who are aged 20-24,Conf,Numerator,Denominator,% of all 16+ who are aged 25-34,Conf,Numerator,Denominator,% of all 16+ who are aged 35-49,Conf,Numerator,Denominator,% of all 16+ who are aged 50-64,Conf,Numerator,Denominator,% of all 16+ who are aged 65+,Conf,Numerator,Denominator,% of all 16+ who are aged 16-24,Conf,Numerator,Denominator,% of all 16+ who are aged 25-49,Conf,Numerator,Denominator,% of all 16+ who are aged 50+,Conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ualad09:Lewisham,117400,238800,49.2,4.2,121400,238800,50.8,4.2,211500,238800,88.6,2.7,105700,117400,90.1,3.8,105800,121400,87.1,3.8,105700,211500,50,4.6,105800,211500,50,4.6,11900,238800,5,1.8,21400,238800,9,2.4,58600,238800,24.5,3.6,78300,238800,32.8,4,41400,238800,17.3,3.2,27300,238800,11.4,2.7,33300,238800,13.9,2.9,136900,238800,57.3,4.2,68700,238800,28.8,3.8
ualad09:Merton,84500,172500,48.9,4.4,88100,172500,51.1,4.4,139400,172500,80.8,3.5,69300,84500,82.1,5,70100,88100,79.6,4.9,69300,139400,49.7,5.1,70100,139400,50.3,5.1,9600,172500,5.6,2,11100,172500,6.5,2.2,37500,172500,21.7,3.6,47500,172500,27.5,3.9,33600,172500,19.5,3.5,33200,172500,19.2,3.5,20800,172500,12,2.9,85000,172500,49.3,4.4,66800,172500,38.7,4.3
ualad09:Newham,139600,264200,52.8,4,124600,264200,47.2,4,241400,264200,91.4,2.2,128900,139600,92.4,3.1,112500,124600,90.3,3.2,128900,241400,53.4,4.2,112500,241400,46.6,4.2,15000,264200,5.7,1.8,28100,264200,10.6,2.5,82200,264200,31.1,3.7,78700,264200,29.8,3.6,37400,264200,14.2,2.8,22700,264200,8.6,2.2,43100,264200,16.3,2.9,160900,264200,60.9,3.9,60100,264200,22.8,3.3
ualad09:Redbridge,117900,234600,50.3,3.7,116700,234600,49.7,3.7,198300,234600,84.5,2.7,98300,117900,83.4,3.9,99900,116700,85.6,3.6,98300,198300,49.6,4.1,99900,198300,50.4,4.1,13300,234600,5.7,1.7,15800,234600,6.7,1.8,54500,234600,23.2,3.1,68200,234600,29.1,3.3,46500,234600,19.8,2.9,36400,234600,15.5,2.7,29100,234600,12.4,2.4,122600,234600,52.3,3.7,82900,234600,35.3,3.5
ualad09:Richmond upon Thames,74400,157200,47.3,4.2,82800,157200,52.7,4.2,129700,157200,82.5,3.2,62400,74400,83.9,4.5,67300,82800,81.2,4.6,62400,129700,48.1,4.7,67300,129700,51.9,4.7,8200,157200,5.2,1.9,12200,157200,7.7,2.3,19100,157200,12.2,2.8,52000,157200,33,4,38200,157200,24.3,3.6,27600,157200,17.5,3.2,20400,157200,13,2.8,71100,157200,45.2,4.2,65800,157200,41.8,4.2
ualad09:Southwark,126300,256500,49.3,3.9,130200,256500,50.7,3.9,231300,256500,90.2,2.3,115700,126300,91.6,3.2,115700,130200,88.9,3.4,115700,231300,50,4.2,115700,231300,50,4.2,15000,256500,5.8,1.8,27400,256500,10.7,2.4,78600,256500,30.7,3.6,67900,256500,26.5,3.4,42400,256500,16.6,2.9,25100,256500,9.8,2.3,42400,256500,16.5,2.9,146500,256500,57.1,3.9,67600,256500,26.3,3.4
ualad09:Sutton,74400,156600,47.5,4.1,82200,156600,52.5,4.1,130400,156600,83.3,3.1,63900,74400,85.9,4.2,66400,82200,80.9,4.5,63900,130400,49,4.6,66400,130400,51,4.6,6900,156600,4.4,1.7,10100,156600,6.5,2,35100,156600,22.4,3.4,44100,156600,28.2,3.7,34100,156600,21.8,3.4,26200,156600,16.7,3.1,17000,156600,10.9,2.6,79200,156600,50.6,4.1,60300,156600,38.5,4
ualad09:Tower Hamlets,126300,242100,52.2,4.5,115800,242100,47.8,4.5,227100,242100,93.8,2.2,119300,126300,94.5,2.9,107800,115800,93.1,3.3,119300,227100,52.5,4.7,107800,227100,47.5,4.7,11600,242100,4.8,1.9,31400,242100,13,3.1,86500,242100,35.7,4.4,68500,242100,28.3,4.1,29100,242100,12,3,15000,242100,6.2,2.2,43000,242100,17.8,3.5,155000,242100,64,4.4,44100,242100,18.2,3.5
ualad09:Waltham Forest,107200,213600,50.2,4.5,106400,213600,49.8,4.5,187100,213600,87.6,3,94900,107200,88.6,4.2,92200,106400,86.6,4.1,94900,187100,50.7,4.7,92200,187100,49.3,4.7,14700,213600,6.9,2.3,24000,213600,11.2,2.8,55800,213600,26.1,3.9,52200,213600,24.4,3.8,40400,213600,18.9,3.5,26500,213600,12.4,3,38700,213600,18.1,3.4,108000,213600,50.6,4.5,66900,213600,31.3,4.1
ualad09:Wandsworth,120500,256700,46.9,4.6,136200,256700,53.1,4.6,231500,256700,90.2,2.7,109500,120500,90.9,3.9,122000,136200,89.5,3.8,109500,231500,47.3,4.9,122000,231500,52.7,4.9,7700,256700,3,1.6,21400,256700,8.3,2.5,73700,256700,28.7,4.1,84000,256700,32.7,4.3,44600,256700,17.4,3.5,25200,256700,9.8,2.7,29200,256700,11.4,2.9,157700,256700,61.4,4.5,69900,256700,27.2,4.1
