Department for Transport statistics,,,,,,,,,,,,,,,,,,
Taxi Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/taxi-statistics),,,,,,,,,,,,,,,,,,
Table TAXI0104,,,,,,,,,,,,,,,,,,
"Taxis, Private Hire Vehicles (PHVs) and their drivers: England and Wales by licensing area, 31 March 2017 1",,,,,,,,,,,,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,,,,,,
,,,,,Licensed taxis and taxi drivers,,,,,Licensed private hire vehicles (PHVs) and drivers,,,,,,,,
LA code,Licensing Authority,,,,Wheelchair accessible taxis ,"Other 
taxis ","Total 
taxis",Taxi only licensed drivers,,Wheelchair accessible PHVs,"Other 
PHVs ","Total 
PHVs","Operator 
licences 
issued",PHV only licenced Drivers,,Dual taxi/PHV driver licences,"Total 
driver 
licences 
issued",Total licensed vehicles
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
E12000005,West Midlands,,,,"4,690","1,703","6,393","3,914",,306,"17,657","17,963","1,012","17,025",,"10,193","31,132","24,356"
E06000021,,Stoke-on-Trent,,,99,88,187,0,,103,"1,157","1,260",58,0,,"1,602","1,602","1,447"
E10000028,,Staffordshire,,,319,628,947,238,,14,"1,164","1,178",220,593,,"1,988","2,819","2,125"
E07000192,,,Cannock Chase,,14,213,227,0,,0,24,24,10,0,,320,320,251
E07000193,,,East Staffordshire,,111,24,135,28,,0,198,198,44,201,,367,596,333
E07000194,,,Lichfield,,11,108,119,0,,2,41,43,22,0,,179,179,162
E07000195,,,Newcastle-under-Lyme,,20,197,217,210,,6,527,533,54,392,,347,949,750
E07000196,,,South Staffordshire,,2,0,2,0,,0,136,136,47,0,,168,168,138
E07000197,,,Stafford,,33,63,96,0,,2,118,120,18,0,,293,293,216
E07000198,,,Staffordshire Moorlands,,6,23,29,0,,4,24,28,18,0,,84,84,57
E07000199,,,Tamworth,,122,0,122,0,,0,96,96,7,0,,230,230,218
E06000051,,Shropshire,,,62,98,160,0,,21,941,962,83,0,,"1,943","1,943","1,122"
E06000020,,Telford and Wrekin,,,28,0,28,0,,8,255,263,17,0,,306,306,291
E11000005,,West Midlands,,,"3,226",0,"3,226","3,550",,62,"13,012","13,074",335,"15,965",,"1,198","20,713","16,300"
E08000025,,,Birmingham,,"1,283",0,"1,283","1,338",,0,"4,456","4,456",90,"4,887",,0,"6,225","5,739"
E08000026,,,Coventry,,859,0,859,"1,031",,0,221,221,14,262,,125,"1,418","1,080"
E08000027,,,Dudley,,390,0,390,720,,12,688,700,46,975,,0,"1,695","1,090"
E08000028,,,Sandwell,,204,0,204,67,,10,"1,430","1,440",38,"1,218",,555,"1,840","1,644"
E08000029,,,Solihull,,172,0,172,188,,0,"2,213","2,213",46,"2,225",,0,"2,413","2,385"
E08000030,,,Walsall,,132,0,132,53,,20,"1,075","1,095",60,"1,409",,358,"1,820","1,227"
E08000031,,,Wolverhampton,,186,0,186,153,,20,"2,929","2,949",41,"4,989",,160,"5,302","3,135"
E06000019,,"Herefordshire, County of",,,54,218,272,0,,7,95,102,44,0,,410,410,374
E10000034,,Worcestershire,,,337,460,797,126,,81,564,645,109,467,,"1,072","1,665","1,442"
E07000234,,,Bromsgrove,,5,116,121,0,,6,35,41,14,9,,154,163,162
E07000235,,,Malvern Hills,,3,43,46,0,,25,38,63,21,61,,70,131,109
E07000236,,,Redditch,,5,190,195,126,,15,227,242,17,206,,141,473,437
E07000237,,,Worcester,,234,30,264,0,,9,49,58,14,0,,365,365,322
E07000238,,,Wychavon,,11,77,88,0,,26,141,167,37,191,,111,302,255
E07000239,,,Wyre Forest,,79,4,83,0,,0,74,74,6,0,,231,231,157
E10000031,,Warwickshire,,,565,211,776,0,,10,469,479,146,0,,"1,674","1,674","1,255"
E07000218,,,North Warwickshire,,13,65,78,0,,8,14,22,9,0,,100,100,100
E07000219,,,Nuneaton and Bedworth,,232,53,285,0,,0,113,113,23,0,,585,585,398
E07000220,,,Rugby,,92,34,126,0,,0,91,91,21,0,,303,303,217
E07000221,,,Stratford-on-Avon,,72,0,72,0,,0,71,71,32,0,,203,203,143
